ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	2	747600	3.01	480600	809600	0.0623673561507964
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	4	1228600	5.75	1146200	1283000	0.0727475836160702
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	5	64900	2.92	16300	162100	0.0490891744219465
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	10	310300	6.86	282700	363900	0.114875873670755
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	10	665400	3.36	576800	741700	0.0582682584311852
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	12	684600	20.37	665000	720600	-0.217561878172207
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	13	64600	13.26	35600	111100	-0.156979716692778
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	14	152700	3.69	95500	234300	0.0843335657965925
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	15	33900	4.01	0	116000	0.0609019417995437
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	15	407600	8.38	334800	442400	0.109276381810112
UGP1_aF_0_1_4	UGP1_a_1_1_4	UGP1_aF_0_1_4 UGP1_a_1_1_4	15	602700	6.74	556000	636500	0.131024980445219
