ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	2	186300	4.41	137000	225500	0.0734186187427518
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	2	568400	4.21	510000	658100	0.084166018346555
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	4	63300	5.35	0	95900	0.101650557297673
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	7	88700	2.9	0	189700	-0.0557820696402831
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	8	145600	4.05	113000	228600	0.0949485571541972
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	11	218400	2.85	33600	484700	0.0357750472608119
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	12	776300	4.78	723900	858700	-0.098328585877958
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	13	508300	4.19	424600	561500	0.0682108367158665
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	13	667600	4.26	601200	755700	0.07233858588498
GPD1_a_0_1_2	GPD1_a_3_1_2	GPD1_a_0_1_2 GPD1_a_3_1_2	14	577900	2.95	407700	669200	-0.0722849298923995
