ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	4	88500	4.01	0	117900	0.0848189898485686
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	4	761200	2.96	557300	811800	0.0335979212936415
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	5	162200	2.84	82400	296700	0.0733833236074369
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	5	518500	16.61	503000	553500	0.161111177643159
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	7	128100	5.63	71000	237100	-0.105549813647895
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	8	336900	3.61	137700	410100	0.0655516903929392
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	10	200800	5.36	128600	311300	0.083263121971376
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	11	261100	4.12	173400	343000	0.0844949519155446
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	12	746200	8.01	703300	795100	-0.112860119492298
GPD1_a_0_1_4	GPD1_a_1_2_4	GPD1_a_0_1_4 GPD1_a_1_2_4	13	32700	4.3	0	172800	-0.0707917899450493
