target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	6.5	5.82038
YPR161C	1974	1775	2778	28.2293
YOL138C	4026	3827	1947	9.17644
YDR395W	2835	2636	10631	72.7437
YGR129W	648	449	659	26.4732
YPR165W	630	431	10192	426.529
YPR098C	486	287	1200	75.4164
YPL015C	1074	875	1828	37.6821
YCL050C	966	767	10609	249.486
YAL069W	315	116.007	0.177212	0.0275533
YMR193W	777	578	1037	32.3607
YLR031W	561	362	53	2.64079
YIL014C-A	315	116.007	222	34.5171
YGR053C	852	653	156	4.30902
YCR101C	549	350	124	6.39029
YER087C-B	249	53.2273	1920	650.629
YOR280C	801	602	1317	39.4599
YGR097W	3441	3242	2835	15.7727
YHR215W	1404	1205	440.966	6.60062
YKL025C	2040	1841	2182	21.378
YKR011C	1062	863	936	19.5628
YEL004W	1029	830	864	18.776
YJL200C	2370	2171	8683	72.1401
YLL027W	753	554	1934	62.9671
YOR024W	324	125.002	2	0.288589
YLR045C	2667	2468	3358	24.5416
YDR348C	1500	1301	3549	49.2034
YPL183C	3042	2843	9507	60.3161
YGR003W	2235	2036	2239	19.8355
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	717	21.0629
YGL060W	1926	1727	2049	21.4001
YLL007C	1998	1799	839	8.41197
YEL009C	846	647	40332	1124.38
YEL015W	1656	1457	5565	68.8926
YOR083W	888	689	353	9.24107
YBR252W	444	245	2361	173.819
YDR329C	1326	1127	2490	39.8513
YDL202W	750	551	1257	41.1482
YHR209W	876	677	277	7.38002
YPR008W	2085	1886	4552	43.5339
YER075C	2787	2588	2547	17.7513
YDL203C	1872	1673	1645	17.7352
YBR050C	1017	818	58	1.27891
YMR197C	654	455	1345	53.3185
YDR261W-A	1317	1118	0	0
YBL049W	417	218	34	2.81313
YER054C	1647	1448	210	2.61588
YDR305C	654	455	814	32.2686
YHL019W-A	594	395	39	1.78088
YNL201C	2577	2378	5549	42.0891
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	290	3.08236
YBR206W	324	125.002	821.724	118.57
YPL171C	1203	1004	59	1.05995
YHR051W	447	248	2358	171.498
YDL116W	2181	1982	5126	46.6489
YPR124W	1221	1022	1220	21.5316
YJL023C	1044	845	676	14.4297
YGL167C	2853	2654	4571	31.0654
YDL165W	576	377	1522	72.8182
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	28	7.62837
YIL143C	2532	2333	3752	29.0078
YBR292C	372	173	2	0.208521
YGR240C	2964	2765	45439	296.415
YOR094W	552	353	1087	55.542
YDR167W	621	422	2073	88.604
YBR063C	1215	1016	1359	24.1264
YER052C	1584	1385	10987	143.086
YGR178C	2169	1970	7806	71.4709
YPL118W	1035	836	3518	75.9025
YPR187W	468	269	7555	506.581
YJL065C	504	305	942	55.708
YOL141W	2088	1889	1116	10.6561
YPR086W	1038	839	4185	89.9705
YBR122C	534	335	1711	92.1238
YBR271W	1260	1061	2482	42.1942
YBR279W	1338	1139	4417	69.9472
YHR095W	495	296	10	0.609361
YMR221C	1515	1316	4691	64.2949
YDR241W	288	89.1545	34	6.87864
YJL221C	1770	1571	77.6399	0.891406
YER130C	1332	1133	7559	120.338
YBR155W	1158	959	3424	64.3994
YDR363W	1371	1172	1370	21.0843
YGR266W	2106	1907	2444	23.1162
YLR443W	1347	1148	1686	26.49
YPL147W	2613	2414	653	4.87913
YAL034C	1242	1043	796	13.7656
YBR067C	633	434	4870	202.398
YCR095C	1089	890	1396	28.2919
YLR270W	1053	854	2295	48.4721
YPR084W	1371	1172	1019	15.6824
YBR184W	1572	1373	322	4.23011
YMR113W	1284	1085	1731	28.7762
YGR035C	351	152	301	35.7182
YDL222C	930	731	189	4.66349
YCL008C	1158	959	1121	21.084
YEL065W	1887	1688	1667	17.8127
YNL335W	678	479	0	0
YMR296C	1677	1478	6897	84.1691
YDR232W	1647	1448	3982	49.602
YGR190C	366	167	1	0.108007
YHR116W	456	257	303	21.2655
YDR313C	861	662	687	18.7183
YFR018C	1092	893	1853	37.4275
YKL007W	807	608	4548	134.922
YIL048W	3456	3257	3631	20.1083
YDL213C	678	479	4422	166.514
YDR443C	4263	4064	1384	6.14256
YNL292W	1212	1013	3212	57.1917
YKL183C-A	213	30.0561	0	0
YOR324C	1809	1610	1703	19.079
YNL134C	1131	932	5484	106.132
YKL100C	1764	1565	4518	52.0713
YOR192C-B	5313	5114	9270.02	32.6954
YPL021W	564	365	0	0
YIL146C	1590	1391	505	6.54834
YLR299C-A	93	7.96714	0	0
YNL218W	1764	1565	1129	13.0121
YIL121W	1629	1430	17187	216.786
YNL228W	777	578	22	0.686533
YDL167C	2160	1961	7482	68.8188
YPL214C	1623	1424	1858	23.5344
YOR228C	909	710	532	13.5151
YBR270C	1638	1439	654	8.19754
YGR222W	882	683	1308	34.5425
YEL063C	1773	1574	6603	75.6664
YAL068W-A	255	58.2335	0	0
YML020W	1995	1796	1514	15.205
YGR121C	1479	1280	434	6.1157
YBR222C	1632	1433	3438	43.2739
YDL095W	2454	2255	17867	142.913
YDL003W	1701	1502	4195	50.3766
YOR323C	1371	1172	12235	188.297
YMR183C	888	689	4340	113.615
YOR274W	1287	1088	1402	23.2427
YER146W	282	83.2735	1665	360.64
YML075C	3165	2966	5934	36.0864
YOL035C	303	104.031	1	0.173382
YPL063W	1431	1232	5653	82.7628
YDR457W	9807	9608	8441	15.8463
YLR273C	1947	1748	769	7.93509
YDR181C	1446	1247	1542	22.3041
YLR434C	384	185	36	3.50992
YGL097W	1449	1250	7698	111.08
YCL056C	435	236	466	35.6156
YJL083W	1815	1616	462	5.15665
YMR242W-A	90	7.80345	0	0
YOR026W	1026	827	1381	30.12
YPL140C	1521	1322	1231	16.7955
YNR016C	6702	6503	43348	120.233
YER123W	1575	1376	2956	38.7483
YGR055W	1725	1526	8470	100.114
YKR054C	12279	12080	3987	5.95314
YMR315W	1050	851	7667	162.503
YAL024C	4308	4109	1933	8.48521
YKL202W	582	383	96	4.52105
YKL187C	2253	2054	213	1.87045
YDR383C	717	518	574	19.9871
YDR396W	501	302	3	0.179176
YGR115C	780	581	2	0.0620898
YKL055C	837	638	207	5.85216
YDR035W	1113	914	15738	310.578
YBL062W	381	182	3	0.297315
YHR160C	852	653	34	0.939145
YGR047C	3078	2879	2931	18.3629
YDR119W	2307	2108	7358	62.9587
YBR208C	5508	5309	2057	6.98857
YER151C	2739	2540	5801	41.1942
YLR070C	1071	872	125	2.58559
YPR019W	2802	2603	3605	24.9803
YPL228W	1650	1451	2460	30.5798
YPR190C	1965	1766	4878	49.8216
YGR041W	1644	1445	1722	21.4947
YDR353W	960	761	19948	472.804
YHR097C	1101	902	867	17.3372
YPL047W	300	101.044	427	76.2228
YPL014W	1146	947	2057	39.1788
YGR007W	972	773	3402	79.3819
YML116W	1629	1430	1937	24.4321
YOL137W	1494	1295	2073	28.8733
YGL155W	1131	932	2488	48.1505
YER061C	1329	1130	1288	20.5591
YKL214C	612	413	1439	62.846
YPL119C	1854	1655	173	1.88545
YDL125C	477	278	5806	376.703
YHR186C	4674	4475	2901	11.6929
YKL011C	1062	863	1004	20.9841
YLL019C	2214	2015	1198	10.7238
YNL257C	3690	3491	4060	20.977
YGL199C	471	272	10	0.663129
YJR092W	4344	4145	4650	20.2346
YDR010C	333	134.001	0	0
YBL059W	582	383	427	20.1092
YBR291C	900	701	690	17.7541
YPL189C-A	207	27.3759	154	101.466
YDR262W	819	620	1797	52.2785
YFL012W	447	248	15	1.09095
YLR078C	735	536	1850	62.2549
YDR072C	1584	1385	4276	55.6871
YDR179C	489	290	411	25.5629
YKL153W	510	311	29	1.68192
YOR108C-A	210	28.6775	0	0
YGR220C	810	611	1998	58.9822
YIL053W	753	554	49671	1617.19
YMR161W	675	476	1766	66.9192
YER011W	765	566	172	5.48124
YDR258C	2436	2237	3525	28.4223
YDR467C	327	128.001	7	0.986393
YGL162W	900	701	527	13.56
YNL243W	2907	2708	8926	59.4532
YBR234C	1155	956	7033	132.693
YNL047C	1971	1772	1647	16.7647
YKL038W	3513	3314	1673	9.10563
YFL053W	1776	1577	44	0.503255
YOR200W	399	200	2	0.180371
YKR060W	825	626	2101	60.5367
YPR200C	393	194	72	6.69418
YLR411W	726	527	154	5.2708
YLR318W	2655	2456	1158	8.50446
YHR150W	1740	1541	1163	13.6127
YGL219C	1380	1181	1885	28.7891
YFL009W	2340	2141	4272.16	35.9913
YBR045C	1920	1721	241	2.52582
YMR039C	879	680	3250	86.2067
YKL195W	1212	1013	5284	94.0849
YPR127W	1038	839	1628	34.9993
YPL188W	1245	1046	1870	32.2461
YGL147C	576	377	61890.2	2961.06
YDR217C	3930	3731	3636	17.5778
YML015C	1041	842	2183	46.7636
YJR126C	2436	2237	5035	40.5976
YPR026W	3636	3437	895	4.69689
YHR073W	2991	2792	5904	38.1415
YMR274C	948	749	824	19.8432
YMR008C	1995	1796	4231.52	42.4969
YHR125W	306	107.022	0	0
YER119C-A	372	173	1	0.104261
YDL227C	1761	1562	6041	69.7581
YOR197W	1299	1100	5131	84.1349
YDR034C-C	1317	1118	805.281	12.9919
YNL081C	432	233	1468	113.641
YKL096W-A	279	80.3587	40862	9171.77
YDR532C	1158	959	1016	19.1092
YNL319W	441	242	0	0
YDR049W	1899	1700	2523	26.7692
YBR113W	483	284	2	0.127022
YKL170W	417	218	733	60.6477
YJL043W	774	575	18	0.56464
YGL047W	609	410	614	27.0117
YLR006C	2139	1940	1227	11.408
YHR079C	3348	3149	2825	16.1813
YPR171W	1731	1532	1542	18.1548
YML063W	768	569	108499	3439.39
YLR178C	660	461	1229	48.0859
YHL029C	2040	1841	3727	36.5151
YJL090C	2295	2096	2011	17.3056
YBR008C	1647	1448	1171	14.5866
YDR372C	1038	839	5587	120.111
YOR184W	1188	989	14470	263.9
YHR218W	1812	1613	182.241	2.03788
YMR203W	1164	965	6188	115.662
YBL006W-A	150	13.0193	0	0
YIR008C	1230	1031	1825	31.9279
YBL024W	2055	1856	9431	91.653
YDR317W	1245	1046	217	3.74192
YOL166C	339	140	1	0.128836
YJL087C	2484	2285	3039	23.9889
YJL038C	660	461	17	0.665143
YDR043C	696	497	207	7.51243
YHR028C	2457	2258	7495	59.8707
YOR340C	981	782	7144	164.779
YCL044C	1254	1055	1063	18.1739
YEL072W	696	497	269	9.76253
YFR022W	2202	2003	767	6.90687
YIR010W	1731	1532	1708	20.1092
YBL008W	2523	2324	2134	16.5625
YMR178W	825	626	2504	72.1484
YOL008W	624	425	738	31.3209
YHR017W	1158	959	1573	29.5854
YKR101W	1965	1766	862	8.80407
YMR095C	675	476	1050	39.7877
YHR198C	966	767	1211	28.4784
YOR076C	2244	2045	2110	18.6104
YGL015C	393	194	10	0.929747
YNL219C	1668	1469	4583	56.2723
YLR210W	1383	1184	1362	20.7488
YIL034C	864	665	3489	94.6337
