target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	5	4.12397
YPR161C	1974	1775	2838	26.5637
YOL138C	4026	3827	2144.12	9.30816
YDR395W	2835	2636	10976	69.1788
YGR129W	648	449	931	34.4491
YPR165W	630	431	10815	416.892
YPR098C	486	287	1275	73.8078
YPL015C	1074	875	1684	31.9748
YCL050C	966	767	11088	240.177
YAL069W	315	116.007	2	0.28643
YMR193W	777	578	1172	33.6879
YLR031W	561	362	54	2.47833
YIL014C-A	315	116.007	219	31.3641
YGR053C	852	653	165	4.19802
YCR101C	549	350	126	5.98104
YER087C-B	249	53.2273	1976	616.774
YOR280C	801	602	1377	38.0024
YGR097W	3441	3242	2936	15.0459
YHR215W	1404	1205	566.974	7.81718
YKL025C	2040	1841	2139	19.3033
YKR011C	1062	863	975	18.7702
YEL004W	1029	830	825	16.5139
YJL200C	2370	2171	9270	70.9405
YLL027W	753	554	2157	64.6866
YOR024W	324	125.002	1	0.13291
YLR045C	2667	2468	3548	23.8843
YDR348C	1500	1301	3768	48.118
YPL183C	3042	2843	9559	55.8611
YGR003W	2235	2036	2378	19.4048
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	774	20.9434
YGL060W	1926	1727	2169	20.8661
YLL007C	1998	1799	928	8.5702
YEL009C	846	647	43721	1122.69
YEL015W	1656	1457	5657	64.5061
YOR083W	888	689	382	9.21124
YBR252W	444	245	2465	167.157
YDR329C	1326	1127	2874	42.3679
YDL202W	750	551	1267	38.2031
YHR209W	876	677	308	7.55851
YPR008W	2085	1886	4538	39.9758
YER075C	2787	2588	2800	17.975
YDL203C	1872	1673	1700	16.8821
YBR050C	1017	818	65	1.32018
YMR197C	654	455	1548	56.5241
YDR261W-A	1317	1118	0	0
YBL049W	417	218	31	2.36254
YER054C	1647	1448	216	2.47833
YDR305C	654	455	890	32.4977
YHL019W-A	594	395	39	1.64037
YNL201C	2577	2378	5682	39.6975
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	291	2.84895
YBR206W	324	125.002	812.602	108.003
YPL171C	1203	1004	43	0.711556
YHR051W	447	248	2419	162.053
YDL116W	2181	1982	5471	45.8603
YPR124W	1221	1022	1525	24.7909
YJL023C	1044	845	806	15.8472
YGL167C	2853	2654	4430	27.7317
YDL165W	576	377	1757	77.4292
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	21	5.26988
YIL143C	2532	2333	3955	28.1647
YBR292C	372	173	4	0.384139
YGR240C	2964	2765	46249	277.895
YOR094W	552	353	1236	58.1725
YDR167W	621	422	2248	88.503
YBR063C	1215	1016	1458	23.8417
YER052C	1584	1385	11276	135.263
YGR178C	2169	1970	7765	65.4861
YPL118W	1035	836	3980	79.0953
YPR187W	468	269	8639	533.563
YJL065C	504	305	1010	55.0168
YOL141W	2088	1889	1029	9.05019
YPR086W	1038	839	4739	93.8423
YBR122C	534	335	1992	98.7913
YBR271W	1260	1061	2527	39.5698
YBR279W	1338	1139	4834	70.511
YHR095W	495	296	10	0.561284
YMR221C	1515	1316	5344	67.466
YDR241W	288	89.1545	62	11.5537
YJL221C	1770	1571	79.7122	0.84299
YER130C	1332	1133	5731	84.0378
YBR155W	1158	959	3696	64.0306
YDR363W	1371	1172	1511	21.4196
YGR266W	2106	1907	2531	22.0504
YLR443W	1347	1148	1888	27.3234
YPL147W	2613	2414	628	4.32212
YAL034C	1242	1043	831	13.237
YBR067C	633	434	5861	224.366
YCR095C	1089	890	1512	28.2251
YLR270W	1053	854	2139	41.6128
YPR084W	1371	1172	1007	14.275
YBR184W	1572	1373	317	3.83586
YMR113W	1284	1085	1845	28.2515
YGR035C	351	152	396	43.2838
YDL222C	930	731	173	3.9319
YCL008C	1158	959	1161	20.1135
YEL065W	1887	1688	1932	19.0155
YNL335W	678	479	26	0.901804
YMR296C	1677	1478	7208	81.0241
YDR232W	1647	1448	4010	46.0098
YGR190C	366	167	1	0.099485
YHR116W	456	257	332	21.4624
YDR313C	861	662	744	18.6719
YFR018C	1092	893	1796	33.414
YKL007W	807	608	4878	133.295
YIL048W	3456	3257	4048	20.6489
YDL213C	678	479	5462	189.448
YDR443C	4263	4064	1462	5.97679
YNL292W	1212	1013	3515	57.6488
YKL183C-A	213	30.0561	1	0.552767
YOR324C	1809	1610	1802	18.5953
YNL134C	1131	932	5383	95.9583
YKL100C	1764	1565	4812	51.0841
YOR192C-B	5313	5114	9974.43	32.4042
YPL021W	564	365	0	0
YIL146C	1590	1391	488	5.82863
YLR299C-A	93	7.96714	0	0
YNL218W	1764	1565	1284	13.6309
YIL121W	1629	1430	18490	214.82
YNL228W	777	578	18	0.517391
YDL167C	2160	1961	7575	64.177
YPL214C	1623	1424	1945	22.6926
YOR228C	909	710	569	13.3146
YBR270C	1638	1439	729	8.41668
YGR222W	882	683	1545	37.5822
YEL063C	1773	1574	6948	73.338
YAL068W-A	255	58.2335	0	0
YML020W	1995	1796	1727	15.9757
YGR121C	1479	1280	411	5.33465
YBR222C	1632	1433	3335	38.6655
YDL095W	2454	2255	17830	131.365
YDL003W	1701	1502	4677	51.7335
YOR323C	1371	1172	12157	172.335
YMR183C	888	689	4777	115.189
YOR274W	1287	1088	1555	23.7452
YER146W	282	83.2735	2115	421.966
YML075C	3165	2966	6407	35.8887
YOL035C	303	104.031	0	0
YPL063W	1431	1232	6240	84.1488
YDR457W	9807	9608	8308	14.3661
YLR273C	1947	1748	738	7.01438
YDR181C	1446	1247	1691	22.5295
YLR434C	384	185	42	3.77183
YGL097W	1449	1250	8689	115.487
YCL056C	435	236	538	37.8743
YJL083W	1815	1616	468	4.81148
YMR242W-A	90	7.80345	0	0
YOR026W	1026	827	1576	31.661
YPL140C	1521	1322	1368	17.1921
YNR016C	6702	6503	42563	108.741
YER123W	1575	1376	3144	37.9611
YGR055W	1725	1526	8912	97.0275
YKR054C	12279	12080	3838	5.27852
YMR315W	1050	851	7733	150.971
YAL024C	4308	4109	1983	8.0179
YKL202W	582	383	141	6.11638
YKL187C	2253	2054	218	1.76332
YDR383C	717	518	649	20.8156
YDR396W	501	302	7	0.385093
YGR115C	780	581	4	0.114382
YKL055C	837	638	242	6.30186
YDR035W	1113	914	17379	315.902
YBL062W	381	182	3	0.273857
YHR160C	852	653	28	0.712392
YGR047C	3078	2879	3242	18.7088
YDR119W	2307	2108	7750	61.0809
YBR208C	5508	5309	2008	6.28384
YER151C	2739	2540	5986	39.1541
YLR070C	1071	872	186	3.54381
YPR019W	2802	2603	3623	23.1243
YPL228W	1650	1451	2745	31.4303
YPR190C	1965	1766	4855	45.6744
YGR041W	1644	1445	1618	18.6031
YDR353W	960	761	21740	474.623
YHR097C	1101	902	939	17.2955
YPL047W	300	101.044	422	69.3868
YPL014W	1146	947	1075	18.8596
YGR007W	972	773	3604	77.4603
YML116W	1629	1430	2207	25.6413
YOL137W	1494	1295	2142	27.4804
YGL155W	1131	932	2733	48.7189
YER061C	1329	1130	1473	21.657
YKL214C	612	413	1589	63.9216
YPL119C	1854	1655	216	2.16835
YDL125C	477	278	6539	390.787
YHR186C	4674	4475	2889	10.7258
YKL011C	1062	863	984	18.9434
YLL019C	2214	2015	1257	10.3642
YNL257C	3690	3491	4184	19.912
YGL199C	471	272	11	0.67189
YJR092W	4344	4145	4787	19.1873
YDR010C	333	134.001	8	0.991876
YBL059W	582	383	459	19.9108
YBR291C	900	701	754	17.8701
YPL189C-A	207	27.3759	189	114.701
YDR262W	819	620	1817	48.6897
YFL012W	447	248	18	1.20585
YLR078C	735	536	1976	61.2486
YDR072C	1584	1385	4605	55.24
YDR179C	489	290	412	23.6033
YKL153W	510	311	54	2.88475
YOR108C-A	210	28.6775	0	0
YGR220C	810	611	2128	57.8635
YIL053W	753	554	49044	1470.79
YMR161W	675	476	2029	70.8189
YER011W	765	566	197	5.78261
YDR258C	2436	2237	3189	23.6844
YDR467C	327	128.001	17	2.20652
YGL162W	900	701	609	14.4336
YNL243W	2907	2708	9156	56.1735
YBR234C	1155	956	7422	128.984
YNL047C	1971	1772	1573	14.7482
YKL038W	3513	3314	1651	8.27692
YFL053W	1776	1577	36	0.379267
YOR200W	399	200	2	0.16614
YKR060W	825	626	2547	67.5972
YPR200C	393	194	78	6.67985
YLR411W	726	527	150	4.72884
YLR318W	2655	2456	1213	8.20553
YHR150W	1740	1541	1128	12.1613
YGL219C	1380	1181	1997	28.0933
YFL009W	2340	2141	4510.01	34.9974
YBR045C	1920	1721	278	2.68373
YMR039C	879	680	3635	88.8116
YKL195W	1212	1013	6058	99.356
YPR127W	1038	839	1544	30.5745
YPL188W	1245	1046	1920	30.4961
YGL147C	576	377	68956.9	3038.86
YDR217C	3930	3731	3886	17.3042
YML015C	1041	842	2337	46.1127
YJR126C	2436	2237	5567	41.3456
YPR026W	3636	3437	930	4.4955
YHR073W	2991	2792	6251	37.197
YMR274C	948	749	899	19.9412
YMR008C	1995	1796	4234.06	39.1674
YHR125W	306	107.022	0	0
YER119C-A	372	173	0	0
YDL227C	1761	1562	6325	67.275
YOR197W	1299	1100	5176	78.1764
YDR034C-C	1317	1118	924.825	13.7433
YNL081C	432	233	1732	123.5
YKL096W-A	279	80.3587	43679	9030.54
YDR532C	1158	959	1174	20.3387
YNL319W	441	242	4	0.274612
YDR049W	1899	1700	2701	26.3967
YBR113W	483	284	3	0.1755
YKL170W	417	218	793	60.4353
YJL043W	774	575	26	0.751242
YGL047W	609	410	627	25.4073
YLR006C	2139	1940	1234	10.5679
YHR079C	3348	3149	2688	14.1818
YPR171W	1731	1532	1656	17.9587
YML063W	768	569	121583	3550.06
YLR178C	660	461	1060	38.2014
YHL029C	2040	1841	3747	33.8146
YJL090C	2295	2096	2119	16.7963
YBR008C	1647	1448	1102	12.6441
YDR372C	1038	839	6114	121.07
YOR184W	1188	989	16545	277.936
YHR218W	1812	1613	261.858	2.69715
YMR203W	1164	965	6270	107.948
YBL006W-A	150	13.0193	0	0
YIR008C	1230	1031	1970	31.7455
YBL024W	2055	1856	9792	87.6532
YDR317W	1245	1046	210	3.33551
YOL166C	339	140	1	0.118671
YJL087C	2484	2285	3231	23.4923
YJL038C	660	461	17	0.612664
YDR043C	696	497	242	8.08971
YHR028C	2457	2258	7833	57.6339
YOR340C	981	782	8079	171.643
YCL044C	1254	1055	1016	15.9998
YEL072W	696	497	270	9.02571
YFR022W	2202	2003	696	5.77301
YIR010W	1731	1532	1809	19.618
YBL008W	2523	2324	2199	15.7204
YMR178W	825	626	2736	72.6133
YOL008W	624	425	768	30.0225
YHR017W	1158	959	1649	28.5678
YKR101W	1965	1766	964	9.06902
YMR095C	675	476	1163	40.5926
YHR198C	966	767	1243	26.9246
YOR076C	2244	2045	2255	18.3201
YGL015C	393	194	7	0.599474
YNL219C	1668	1469	5024	56.8201
YLR210W	1383	1184	1435	20.1361
YIL034C	864	665	3541	88.4664
YLR148W	2757	2558	2753	17.8805
YOR342C	960	761	5033	109.879
YOL070C	1506	1307	4711	59.8841
YDL160C	1521	1322	3034	38.1292
YIL043C	855	656	12814	324.53
YLR124W	345	146	4	0.455178
YGR231C	933	734	5159	116.773
YPR202W	717	518	1021.92	32.7763
YGR034W	384	185	39649	3560.7
YMR266W	2862	2663	8210	51.2208
YNL021W	2121	1922	3360	29.0442
YPL107W	747	548	966	29.2867
YGR088W	1689	1490	1300	14.4954
YHR173C	339	140	6	0.712027
YCR063W	474	275	173	10.4517
YHR073W-A	177	17.866	0	0
YDL048C	1473	1274	3537	46.1254
YML092C	753	554	5433	162.931
YPR097W	3222	3023	5069	27.8585
YBR201C-A	204	26.1481	13	8.25994
YNL056W	594	395	1835	77.1815
YAL020C	1002	803	1371	28.3659
YDL025C	1863	1664	1449	14.4674
YDL243C	990	791	354.569	7.4473
YFL017C	480	281	1621	95.8409
YGL197W	4464	4265	3129	12.1888
YLR256W-A	1323	1124	1.91883e-05	2.83625e-07
YHR092C	1731	1532	1162.07	12.6022
YLL011W	1470	1271	6609	86.3902
YDR379C-A	240	46.2784	175	62.8251
YDR113C	1122	923	1214	21.852
YLR189C	3597	3398	4628	22.6279
YNR074C	1137	938	1860	32.9446
YOL159C	516	317	497	26.0478
YDL247W	1830	1631	146.702	1.49436
YFL028C	870	671	2777	68.7587
YML032C	1416	1217	2406	32.8457
YBR256C	717	518	6695	214.731
YOR081C	2250	2051	2011	16.29
YLR442C	2937	2738	2494	15.1334
YPL024W	726	527	997	31.431
YMR257C	2403	2204	1069	8.05824
YDL219W	453	254	1543	100.927
YKL122C	504	305	3025	164.778
YKR040C	504	305	15	0.817082
YDL080C	1830	1631	1911	19.4662
YGL240W	753	554	286	8.5769
YEL001C	678	479	8518	295.445
YLR374C	390	191	10	0.869843
YPR168W	474	275	358	21.6284
YDL034W	345	146	2	0.227589
YHR109W	1758	1559	695	7.4065
YJL060W	1335	1136	2249	32.8916
YPL061W	1503	1304	26762	340.969
YDR223W	1404	1205	154	2.12328
YER174C	735	536	2215	68.6567
YGR104C	924	725	1198	27.4532
YLR240W	2628	2429	2087	14.2748
YPR062W	477	278	7771	464.415
YDR402C	1470	1271	29	0.379076
YLR037C	375	176	48	4.53109
YMR146C	1044	845	21447	421.681
YGR241C	1707	1508	1776	19.5666
YGL062W	3537	3338	6798.72	33.8388
YPR057W	1026	827	1809	36.3419
YIL012W	342	143	8	0.929453
YDR156W	414	215	1137	87.861
YJR113C	744	545	1480	45.1169
YLR416C	399	200	3	0.24921
YPR131C	588	389	1298	55.4369
YLR029C	615	416	105844	4227.13
YMR155W	1644	1445	1219	14.0155
YNL180C	996	797	4896	102.06
YGR164W	336	137	1	0.12127
YOL106W	354	155	69	7.39591
YIL140W	2472	2273	2847	20.8095
YIL171W-A	453	254	0.5	0.0327047
YDR272W	825	626	4197	111.388
YDR114C	303	104.031	0	0
YOR238W	912	713	1380	32.1561
YPR077C	372	173	4.94128	0.474534
YKL142W	660	461	3541	127.614
YLR139C	1932	1733	856	8.20634
YNR044W	2178	1979	6547	54.963
YPR009W	807	608	1344	36.7257
YHR032W	1746	1547	5491	58.9706
YDR429C	825	626	17315	459.539
YGL079W	657	458	983	35.6584
YNR031C	4740	4541	3591	13.1383
YHR084W	2067	1868	4486	39.8985
YOR004W	765	566	3463	101.651
YMR086C-A	339	140	6	0.712027
YMR233W	681	482	989	34.0897
YMR244W	1068	869	43	0.822097
YLL010C	1284	1085	2165	33.1514
YNL188W	1302	1103	2340	35.2464
YKL156C-A	117	9.56096	0	0
YNL104C	1860	1661	28824.4	288.313
YIL005W	2106	1907	3585	31.2329
YOR365C	2112	1913	22	0.191065
YNR030W	1656	1457	4221	48.1316
YBR265W	963	764	2576	56.0179
Q0055	2565	2366	28	0.196615
YGL131C	4212	4013	1798	7.4438
YDL162C	357	158	4	0.420607
YDR246W-A	201	24.9909	1	0.664803
YHR033W	1272	1073	474	7.33927
YNR040W	771	572	755	21.9293
YNR034W	966	767	680	14.7295
YEL076C	651	452	101.952	3.74741
YHL046W-A	327	128.001	0	0
YDL071C	375	176	15	1.41597
YOR173W	1062	863	545	10.492
YOR337W	2280	2081	3394	27.0965
YGL104C	1461	1262	752	9.89994
YNL181W	1224	1025	2993	48.5129
YDR164C	2175	1976	2735	22.9956
YGR243W	441	242	77	5.28627
YOR107W	930	731	1299	29.5234
YDR464W	4308	4109	4676	18.9066
YGR210C	1236	1037	5168	82.7976
YLR012C	300	101.044	2	0.328848
YOR168W	2430	2231	23455	174.667
YLR054C	2175	1976	109	0.91646
YNL002C	969	770	12369	266.881
YHR193C	525	326	28201	1437.21
YNL294C	1602	1403	2813	33.3109
YOR005C	2835	2636	815	5.13673
YPR147C	915	716	2091	48.5194
YBR092C	1404	1205	16513	227.674
YJL028W	336	137	1	0.12127
YOR242C	1116	917	158	2.86261
YLR077W	1752	1553	3122	33.3992
YCR081W	4284	4085	2085	8.47985
YOR396C-A	483	284	0.00141712	8.29016e-05
YLR458W	381	182	0	0
YBL040C	660	461	3635	131.002
