target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	6	5.01528
YPR161C	1974	1775	3844	36.4635
YOL138C	4026	3827	2638	11.6062
YDR395W	2835	2636	12445	79.4918
YGR129W	648	449	767	28.7622
YPR165W	630	431	10141	396.165
YPR098C	486	287	1302	76.3839
YPL015C	1074	875	2602	50.0694
YCL050C	966	767	11841	259.936
YAL069W	315	116.007	3	0.435421
YMR193W	777	578	1254	36.5294
YLR031W	561	362	55	2.55816
YIL014C-A	315	116.007	270	39.1879
YGR053C	852	653	188	4.8475
YCR101C	549	350	152	7.31221
YER087C-B	249	53.2273	2611	825.933
YOR280C	801	602	1484	41.5059
YGR097W	3441	3242	4084	21.2102
YHR215W	1404	1205	650.804	9.0936
YKL025C	2040	1841	3064	28.0226
YKR011C	1062	863	1132	22.0856
YEL004W	1029	830	886	17.9733
YJL200C	2370	2171	11225	87.0561
YLL027W	753	554	2187	66.4679
YOR024W	324	125.002	1	0.134696
YLR045C	2667	2468	4235	28.8922
YDR348C	1500	1301	4777	61.8231
YPL183C	3042	2843	9920	58.75
YGR003W	2235	2036	2491	20.6001
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	814	22.3218
YGL060W	1926	1727	2389	23.2915
YLL007C	1998	1799	946	8.85386
YEL009C	846	647	42530	1106.79
YEL015W	1656	1457	6479	74.8723
YOR083W	888	689	478	11.681
YBR252W	444	245	2298	157.927
YDR329C	1326	1127	2739	40.9205
YDL202W	750	551	1539	47.0284
YHR209W	876	677	392	9.74923
YPR008W	2085	1886	5301	47.3248
YER075C	2787	2588	3188	20.7409
YDL203C	1872	1673	2286	23.0066
YBR050C	1017	818	59	1.21443
YMR197C	654	455	1685	62.3536
YDR261W-A	1317	1118	0	0
YBL049W	417	218	36	2.78047
YER054C	1647	1448	265	3.08141
YDR305C	654	455	939	34.7478
YHL019W-A	594	395	43	1.83292
YNL201C	2577	2378	5974	42.2986
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	529	5.24864
YBR206W	324	125.002	992.449	133.679
YPL171C	1203	1004	70	1.17392
YHR051W	447	248	2401	163.01
YDL116W	2181	1982	5419	46.035
YPR124W	1221	1022	1604	26.4257
YJL023C	1044	845	768	15.303
YGL167C	2853	2654	5729	36.3455
YDL165W	576	377	1663	74.2718
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	28	7.12095
YIL143C	2532	2333	4248	30.6579
YBR292C	372	173	8	0.778604
YGR240C	2964	2765	54651	332.794
YOR094W	552	353	1142	54.4709
YDR167W	621	422	2028	80.9149
YBR063C	1215	1016	1788	29.631
YER052C	1584	1385	13094	159.183
YGR178C	2169	1970	10956	93.6394
YPL118W	1035	836	3895	78.4466
YPR187W	468	269	7744	484.714
YJL065C	504	305	1288	71.1032
YOL141W	2088	1889	1259	11.2219
YPR086W	1038	839	4719	94.7024
YBR122C	534	335	1884	94.6911
YBR271W	1260	1061	2875	45.6242
YBR279W	1338	1139	5588	82.6048
YHR095W	495	296	10	0.568828
YMR221C	1515	1316	5201	66.5432
YDR241W	288	89.1545	96	18.1301
YJL221C	1770	1571	91.1654	0.977072
YER130C	1332	1133	9296	138.146
YBR155W	1158	959	3855	67.6828
YDR363W	1371	1172	1638	23.532
YGR266W	2106	1907	3016	26.6289
YLR443W	1347	1148	1799	26.3853
YPL147W	2613	2414	736	5.1335
YAL034C	1242	1043	1172	18.9198
YBR067C	633	434	7174	278.32
YCR095C	1089	890	1563	29.5694
YLR270W	1053	854	2532	49.9205
YPR084W	1371	1172	1525	21.9086
YBR184W	1572	1373	427	5.23637
YMR113W	1284	1085	1822	28.2743
YGR035C	351	152	255	28.2468
YDL222C	930	731	209	4.81395
YCL008C	1158	959	1578	27.7052
YEL065W	1887	1688	1817	18.1241
YNL335W	678	479	18.6667	0.656151
YMR296C	1677	1478	9115	103.838
YDR232W	1647	1448	4958	57.6515
YGR190C	366	167	1	0.100822
YHR116W	456	257	382	25.0267
YDR313C	861	662	809	20.5761
YFR018C	1092	893	2338	44.0825
YKL007W	807	608	5279	146.191
YIL048W	3456	3257	3868	19.9959
YDL213C	678	479	4969	174.665
YDR443C	4263	4064	1913	7.92564
YNL292W	1212	1013	3389	56.3294
YKL183C-A	213	30.0561	0	0
YOR324C	1809	1610	1932	20.2048
YNL134C	1131	932	8014	144.779
YKL100C	1764	1565	5736	61.7117
YOR192C-B	5313	5114	12346.1	40.6484
YPL021W	564	365	0	0
YIL146C	1590	1391	592	7.16585
YLR299C-A	93	7.96714	0	0
YNL218W	1764	1565	1264	13.599
YIL121W	1629	1430	21450	252.56
YNL228W	777	578	46	1.33999
YDL167C	2160	1961	8537	73.2994
YPL214C	1623	1424	2150	25.4215
YOR228C	909	710	625	14.8216
YBR270C	1638	1439	848	9.9222
YGR222W	882	683	1629	40.1581
YEL063C	1773	1574	7386	79.0092
YAL068W-A	255	58.2335	0	0
YML020W	1995	1796	1826	17.1186
YGR121C	1479	1280	604	7.94511
YBR222C	1632	1433	4807	56.4808
YDL095W	2454	2255	22508	168.06
YDL003W	1701	1502	4661	52.2495
YOR323C	1371	1172	14923	214.388
YMR183C	888	689	5292	129.322
YOR274W	1287	1088	1669	25.8286
YER146W	282	83.2735	1899	383.964
YML075C	3165	2966	7274	41.2929
YOL035C	303	104.031	2	0.323698
YPL063W	1431	1232	7891	107.844
YDR457W	9807	9608	10372	18.1762
YLR273C	1947	1748	818	7.87925
YDR181C	1446	1247	1633	22.0492
YLR434C	384	185	71	6.46189
YGL097W	1449	1250	8293	111.705
YCL056C	435	236	588	41.9506
YJL083W	1815	1616	627	6.5328
YMR242W-A	90	7.80345	0	0
YOR026W	1026	827	1647	33.5321
YPL140C	1521	1322	1542	19.6393
YNR016C	6702	6503	50553	130.89
YER123W	1575	1376	3125	38.2388
