target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	3.5	2.91424
YPR161C	1974	1775	3676	34.7347
YOL138C	4026	3827	2481	10.8731
YDR395W	2835	2636	11820	75.207
YGR129W	648	449	825	30.8172
YPR165W	630	431	10105	393.229
YPR098C	486	287	1274	74.4515
YPL015C	1074	875	2552	48.9169
YCL050C	966	767	12068	263.892
YAL069W	315	116.007	5	0.722888
YMR193W	777	578	1111	32.2383
YLR031W	561	362	55	2.54824
YIL014C-A	315	116.007	218	31.5179
YGR053C	852	653	155	3.98111
YCR101C	549	350	140	6.70882
YER087C-B	249	53.2273	2572	810.443
YOR280C	801	602	1424	39.6734
YGR097W	3441	3242	4039	20.8952
YHR215W	1404	1205	705.199	9.81546
YKL025C	2040	1841	2813	25.6273
YKR011C	1062	863	1014	19.7067
YEL004W	1029	830	894	18.0653
YJL200C	2370	2171	11587	89.5153
YLL027W	753	554	2237	67.724
YOR024W	324	125.002	0	0
YLR045C	2667	2468	4020	27.3191
YDR348C	1500	1301	4584	59.0954
YPL183C	3042	2843	10146	59.8555
YGR003W	2235	2036	2472	20.3637
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	840	22.9455
YGL060W	1926	1727	2230	21.657
YLL007C	1998	1799	916	8.53985
YEL009C	846	647	44957	1165.41
YEL015W	1656	1457	6131	70.5761
YOR083W	888	689	470	11.441
YBR252W	444	245	2489	170.39
YDR329C	1326	1127	2680	39.8838
YDL202W	750	551	1342	40.8495
YHR209W	876	677	365	9.04254
YPR008W	2085	1886	5657	50.3073
YER075C	2787	2588	3102	20.1031
YDL203C	1872	1673	2146	21.5139
YBR050C	1017	818	61	1.25073
YMR197C	654	455	1460	53.818
YDR261W-A	1317	1118	0	0
YBL049W	417	218	26	2.00034
YER054C	1647	1448	231	2.67565
YDR305C	654	455	969	35.7189
YHL019W-A	594	395	50	2.12304
YNL201C	2577	2378	5751	40.5618
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	432	4.26961
YBR206W	324	125.002	1004.63	134.795
YPL171C	1203	1004	58	0.968903
YHR051W	447	248	2081	140.736
YDL116W	2181	1982	5441	46.0428
YPR124W	1221	1022	1344	22.0564
YJL023C	1044	845	798	15.8392
YGL167C	2853	2654	5285	33.3988
YDL165W	576	377	1716	76.3418
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	27	6.84002
YIL143C	2532	2333	3988	28.6699
YBR292C	372	173	6	0.58169
YGR240C	2964	2765	51260	310.935
YOR094W	552	353	1222	58.0608
YDR167W	621	422	2088	82.9859
YBR063C	1215	1016	1656	27.3371
YER052C	1584	1385	14103	170.784
YGR178C	2169	1970	10105	86.0313
YPL118W	1035	836	3611	72.4448
YPR187W	468	269	8178	509.895
YJL065C	504	305	1303	71.6524
YOL141W	2088	1889	1192	10.5835
YPR086W	1038	839	4693	93.8155
YBR122C	534	335	1712	85.7127
YBR271W	1260	1061	2803	44.3092
YBR279W	1338	1139	5647	83.1534
YHR095W	495	296	11	0.623286
YMR221C	1515	1316	5339	68.0441
YDR241W	288	89.1545	81	15.238
YJL221C	1770	1571	75.5531	0.806607
YER130C	1332	1133	9194	136.101
YBR155W	1158	959	4052	70.8659
YDR363W	1371	1172	1558	22.296
YGR266W	2106	1907	2931	25.7781
YLR443W	1347	1148	1724	25.1873
YPL147W	2613	2414	671	4.66199
YAL034C	1242	1043	1117	17.962
YBR067C	633	434	7191	277.898
YCR095C	1089	890	1504	28.3429
YLR270W	1053	854	2300	45.1706
YPR084W	1371	1172	1455	20.822
YBR184W	1572	1373	359	4.38541
YMR113W	1284	1085	1880	29.0613
YGR035C	351	152	272	30.0131
YDL222C	930	731	170	3.90048
YCL008C	1158	959	1589	27.7902
YEL065W	1887	1688	2434	24.1843
YNL335W	678	479	12	0.420177
YMR296C	1677	1478	8848	100.405
YDR232W	1647	1448	4703	54.4744
YGR190C	366	167	1	0.100431
YHR116W	456	257	401	26.1696
YDR313C	861	662	776	19.6603
YFR018C	1092	893	2331	43.7801
YKL007W	807	608	4891	134.921
YIL048W	3456	3257	3489	17.9667
YDL213C	678	479	5274	184.668
