strains	correl	r2	correlc	r2c
GPD1_1	0.281511508172108	0.140260226318624	0.162348616253621	0.0498142258681332
GPD1_2	0.269984635623794	0.134080584420862	0.15304292886358	0.0467131275659462
GPD1_3	0.285360100278954	0.144943762553079	0.173046116232624	0.0564777842008368
GPD1_4	0.26463015216569	0.127883224897	0.15359454035929	0.0463396640569242
MTD1_1	0.376502375769209	0.126915302639255	0.172005417840107	0.0219659209283665
UGP1_1	0.253687205079177	0.10440600707527	0.106360215502195	0.019188403984498
ARO8_1	0.422853239699283	0.199198076122979	0.251077743508473	0.0606230235211519
OLE1_1	0.413800196264732	0.185097767693331	0.250977532270045	0.0613608494604374
CYC1_1	0.339041391935504	0.311292217292406	0.301645802713042	0.261118019269285
TPO1_1	0.395959512948538	0.291688370517451	0.330468060399992	0.209431154926813
CTS1_1	0.0529090722322928	0.00668282647956796	0.0131900417794808	0.000403263308017956
RPS10A_1	0.7048272497623	0.277549928082998	0.46515614234206	0.100589925240789
