GOI	CRISPR	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
ARO8a	a	mCH	high	all	0.248989687644456	2.60086389841341e-111	0.165400725365968	7.45346836928363e-76	0		
ARO8a	a	GFP	high	all	0.212090308107147	1.1320403023444e-74	0.416840742587942	0	0		
ARO8a	a	mCH	high	fix	0.209007913214653	1.18367319717208e-75	-0.00440413697961972	0.615403705646644	0		
ARO8a	a	GFP	high	fix	0.0547085766467053	3.10642455046734e-07	0.256462972099706	1.82672584056418e-174	0		
ARO8i	i	mCH	high	all	0.136875487339859	1.56288531393833e-88	0.00877490542605486	0.294610084661641	0		
ARO8i	i	GFP	high	all	0.157275735395023	3.06758251339694e-98	0.408464513662119	0	0		
ARO8i	i	mCH	high	fix	0.0444222793668398	1.90968943662237e-11	-0.132324308633948	2.45013380871016e-65	0		
ARO8i	i	GFP	high	fix	0.117520442145965	1.07170377719499e-61	0.409487917926779	0	0		
BMH2a	a	mCH	high	all	0.224236730106283	3.04721947808509e-111	0.0278606906591445	0.00115920783879904	0		
BMH2a	a	GFP	high	all	0.0797317919077472	1.89781573495047e-16	0.253358824420381	7.91447499656731e-197	0		
BMH2a	a	mCH	high	fix	0.177384916514407	1.07120425232206e-75	-0.0278271104512804	0.000551026952229826	0		
BMH2a	a	GFP	high	fix	-0.0405424396933718	5.71212590456005e-05	0.266683970228881	1.02006057583562e-216	0		
BMH2i	i	mCH	high	all	0.139785886224191	1.44805759100609e-82	0.0194968632094152	0.0369975229289137	0		
BMH2i	i	GFP	high	all	-0.0162378407885164	0.0404986585471509	0.182680034511977	5.78520839227776e-83	0		
BMH2i	i	mCH	high	fix	0.0629007640609469	5.41846020425681e-18	-0.0460592027502678	4.61560376513947e-07	0		
BMH2i	i	GFP	high	fix	0.0241233391888276	0.000366420221885325	0.171192677658111	1.520671227993e-80	0		
GPD1a	a	mCH	high	all	0.325591098998933	1.89272596396615e-318	0.0742403603718049	1.92245890036204e-13	0		
GPD1a	a	GFP	high	all	0.143954979204485	3.50796505204475e-58	0.717779491235573	0	0		
GPD1a	a	mCH	high	fix	0.176257778245583	1.5695724958164e-91	-0.364050142394747	1.50591376834732e-316	0		
GPD1a	a	GFP	high	fix	-0.0696691523544448	1.06632524944739e-13	0.538702514024999	0	0		
GPD1i	i	mCH	high	all	0.148631182111004	5.04993462421349e-90	-0.0259055086734392	0.0216965578288952	0		
GPD1i	i	GFP	high	all	-0.0356896666809323	1.02966442038167e-06	0.695094890383608	0	0		
GPD1i	i	mCH	high	fix	0.11185613397608	1.98957257407359e-56	-0.29509869510939	4.61434190429013e-152	0		
GPD1i	i	GFP	high	fix	-0.0126870483175541	0.102289680024167	0.61903531266282	0	0		
MTD1a	a	mCH	high	all	0.219155505080309	1.24699406275632e-153	0.0768703010301053	5.48165721443133e-28	0		
MTD1a	a	GFP	high	all	-0.0117241429135415	0.147595812840314	0.146668270211437	3.97860699029532e-97	0		
MTD1a	a	mCH	high	fix	0.190451384100896	1.85051678548433e-126	0.0412900015885524	1.77217266473921e-09	0		
