row	col	gene	rep	teck	gate	sample
A	1	GPD1	1	1	1	1
B	1	GPD1	1	1	2	2
C	1	GPD1	1	1	3	3
D	1	GPD1	1	1	4	4
E	1	GPD1	1	1	5	5
F	1	GPD1	1	2	1	6
G	1	GPD1	1	2	2	7
H	1	GPD1	1	2	3	8
A	2	GPD1	1	2	4	9
B	2	GPD1	1	2	5	10
C	2	GPD1	2	1	1	11
D	2	GPD1	2	1	2	12
E	2	GPD1	2	1	3	13
F	2	GPD1	2	1	4	14
G	2	GPD1	2	1	5	15
H	2	GPD1	3	1	1	16
A	3	GPD1	3	2	1	17
B	3	GPD1	3	1	2	18
C	3	GPD1	3	1	3	19
D	3	GPD1	3	1	4	20
E	3	GPD1	3	1	5	21
F	3	GPD1	4	1	1	22
G	3	GPD1	4	1	2	23
H	3	GPD1	4	1	3	24
A	4	GPD1	4	1	4	25
B	4	GPD1	4	1	5	26
C	4	MTD1	1	1	1	27
D	4	MTD1	1	1	2	28
E	4	MTD1	1	1	3	29
F	4	MTD1	1	1	4	30
G	4	MTD1	1	1	5	31
H	4	UGP1	1	1	1	32
A	5	UGP1	1	1	2	33
B	5	UGP1	1	1	3	34
C	5	UGP1	1	1	4	35
D	5	UGP1	1	1	5	36
E	5	ARO8	1	1	1	37
F	5	ARO8	1	1	2	38
G	5	ARO8	1	1	3	39
H	5	ARO8	1	1	4	40
A	6	ARO8	1	1	5	41
B	6	OLE1	1	1	1	42
C	6	OLE1	1	1	2	43
D	6	OLE1	1	1	3	44
E	6	OLE1	1	1	4	45
F	6	OLE1	1	1	5	46
G	6	CYC1	1	1	1	47
H	6	CYC1	1	1	2	48
A	7	CYC1	1	1	3	49
B	7	CYC1	1	1	4	50
C	7	CYC1	1	1	5	51
D	7	TPO1	1	1	1	52
E	7	TPO1	1	1	2	53
F	7	TPO1	1	1	3	54
G	7	TPO1	1	1	4	55
H	7	TPO1	1	1	5	56
A	8	CTS1	1	1	1	57
B	8	CTS1	1	1	2	58
C	8	CTS1	1	1	3	59
D	8	CTS1	1	1	4	60
E	8	CTS1	1	1	5	61
F	8	RPS10A	1	1	1	62
G	8	RPS10A	1	1	2	63
H	8	RPS10A	1	1	3	64
A	9	RPS10A	1	1	4	65
B	9	RPS10A	1	1	5	66
C	9	Empty	0	0	0	0
D	9	Empty	0	0	0	0
E	9	Empty	0	0	0	0
F	9	Empty	0	0	0	0
G	9	Empty	0	0	0	0
H	9	Empty	0	0	0	0
A	10	Empty	0	0	0	0
B	10	Empty	0	0	0	0
C	10	Empty	0	0	0	0
D	10	Empty	0	0	0	0
E	10	Empty	0	0	0	0
F	10	Empty	0	0	0	0
G	10	Empty	0	0	0	0
H	10	Empty	0	0	0	0
A	11	Empty	0	0	0	0
B	11	Empty	0	0	0	0
C	11	Empty	0	0	0	0
D	11	Empty	0	0	0	0
E	11	Empty	0	0	0	0
F	11	Empty	0	0	0	0
G	11	Empty	0	0	0	0
H	11	Empty	0	0	0	0
A	12	Empty	0	0	0	0
B	12	Empty	0	0	0	0
C	12	Empty	0	0	0	0
D	12	Empty	0	0	0	0
E	12	Empty	0	0	0	0
F	12	Empty	0	0	0	0
G	12	Empty	0	0	0	0
H	12	Empty	0	0	0	0
