orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	gfp	4	1393000	3.99	1310800	1508900	-0.0799681477801799	-0.0298218510091507	1.24	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	gfp	10	377400	5.76	290700	407000	0.0665925367746901	0.0775677962967698	4.28	together
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	gfp	13	56800	7.93	0	108700	0.115192431178621	-0.0932635541546379	6.2	oposite
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	2	0	3.25	0	83300	-0.13919358458607	0.0214891154719977	0.51	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	2	571800	3.51	506000	691700	-0.0809478170307841	-0.0252041653290976	0.47	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	4	156100	5.53	88300	192300	-0.0892115132097561	0.0196825465072272	0.97	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	4	1316300	3.89	1113700	1377900	-0.067889429976336	-0.0538417112452023	2.1	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	5	331400	5.86	291300	362400	-0.114502359686057	0.0069220795521493	0.42	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	7	905300	4.39	803100	945300	-0.0789517078730977	-0.0171975903323939	0.63	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	10	374400	4.36	272400	412200	0.0786400884409169	0.067720561893805	5.64	together
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	11	222800	4.37	102400	296900	-0.0778206535592557	-0.00134109838386681	0.47	specific
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	13	68900	6.28	0	105700	-0.09670759405559	0.112887700777094	7.63	oposite
YLR286C	CTS1	a	2	1	190201	CTS1_a_2_1	mch	14	462700	24.27	449100	495900	0.187422709004107	0.00216935356160247	0.5	specific
